,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
42,1001907503,-74.0076299412,40.7200547982,102,82955,27,0.755618048643,0.256942450147,0.615814735369,64.0,84.6988767869,67.4859292035,49.170764382,105.881268661,0.604450634273,40.3517456525,0.429721186026,41.826666053,0.723942023432,64.0,0.680034341458,0.343331818086,0.669878379401
43,1021490104,-73.9276746416,40.8510329742,79,61246,61,0.944522560804,0.476988320082,0.0643732314867,80.0,84.6988767869,67.4859292035,49.170764382,132.18531036,0.605210970737,70.3014978421,0.457884980947,37.4968479933,0.0844145886211,80.0,0.774866765771,0.467436650515,0.0743939100539
44,4033400036,-73.8359408568,40.7167487454,79,52182,61,1.0555039617,0.667546561656,1.85218898861,89.4,84.6988767869,67.4859292035,49.170764382,90.6355405312,0.986368034835,95.8172887668,0.470165672394,64.2594417843,1.41727885928,89.4,1.02093599827,0.568856117025,1.63473392395
45,1002067501,-73.9986832865,40.7181501804,14,54678,27,0.780411765864,0.24005003993,0.618148989423,66.1,84.6988767869,67.4859292035,49.170764382,128.630724782,0.513874116096,43.713618134,0.370593894798,46.5925364556,0.652354660728,66.1,0.64714294098,0.305321967364,0.635251825075
46,1002127501,-74.0056746977,40.7205434783,102,98583,57,0.569074842884,0.317695855314,0.711960018314,48.2,84.6988767869,67.4859292035,49.170764382,107.576133934,0.448054770489,43.3883830506,0.494141484254,42.6322738337,0.821152970785,48.2,0.508564806687,0.405918669784,0.766556494549
47,3074470028,-73.9379193243,40.5907042179,59,583000,540,0.755649529152,0.936515389497,1.0119098509,67.3,89.0624521073,50.5918007663,48.4111372627,53.9606790322,1.24720446827,55.5668402614,0.852666802307,69.0314062263,0.709643760246,67.3,1.00142699871,0.894591095902,0.860776805575
48,1002157504,-74.009495282,40.721767389,104,176493,65,0.89257381996,0.52099749407,0.614213599971,75.6,84.6988767869,67.4859292035,49.170764382,90.9127677722,0.831566366887,29.2267921301,1.20300578468,39.4701876033,0.765168701703,75.6,0.862070093423,0.862001639373,0.689691150837
49,1002157505,-74.0089541301,40.7217125372,2017,64231,16,0.950425826809,0.355333330711,0.963088678441,80.5,84.6988767869,67.4859292035,49.170764382,-283.729448273,-0.283720990155,135.247222814,0.17730493463,-12.9526895661,-3.65605971216,80.5,0.333352418327,0.26631913267,-1.34648551686
50,1002207502,-74.006973592,40.7221820278,97,98488,31,0.720198452613,0.327179313682,0.685244187022,61.0,84.6988767869,67.4859292035,49.170764382,104.215898897,0.585323358964,38.0718826773,0.579955558993,41.3749051627,0.814357889926,61.0,0.652760905788,0.453567436337,0.749801038474
51,3060990013,-74.0397857863,40.6204429869,57,262344,254,1.06442162502,0.802896899987,1.30332130348,94.8,89.0624521073,50.5918007663,48.4111372627,102.317330978,0.92652925065,37.3788606799,1.08671048986,54.3872777375,1.16011076754,94.8,0.995475437833,0.944803694925,1.23171603551
